,Tempo,Carro,Aceleração X,Aceleração Y,Aceleração Z,RPM,Velocidade,Temperatura
0,10910208,22,54528,32006,2364,254,0,22
1,10967808,22,55808,34310,62524,254,0,22
2,11025408,22,55552,34566,59964,254,0,22
3,11083264,22,54016,29446,2620,254,0,22
4,11140864,22,54528,34310,62268,254,0,22
5,11198464,22,54784,36870,1340,254,0,22
6,11256064,22,56832,33798,61500,254,0,22
7,11313664,22,53504,36102,1596,254,0,22
8,11371264,22,48640,31750,828,254,0,22
9,11428864,22,54272,31238,60732,254,0,22
10,11486720,22,52224,33798,62268,254,0,22
11,11544320,22,52224,31494,64316,254,0,22
12,11601920,22,55552,32774,1340,254,0,22
13,11659520,22,54784,32262,64828,254,0,22
14,11717120,22,51712,27910,65340,254,0,22
15,11774720,22,53504,33286,60988,254,0,22
16,11832320,22,53248,30470,2364,254,0,22
17,11889920,22,53760,33286,64828,254,0,22
18,11947776,22,58112,32518,61500,254,0,22
19,12005376,22,56576,34054,3132,254,0,22
20,12062976,22,54016,33030,65340,254,0,22
21,12120576,22,55040,30726,62780,254,0,22
22,12178176,22,53504,31750,63292,254,0,22
23,12235776,22,56320,33798,65340,254,0,22
24,12293376,22,54784,29446,61500,254,0,22
25,12351232,22,56064,32262,1084,254,0,22
26,12408832,22,57088,31750,5180,254,0,22
27,12466432,22,51712,33798,64828,254,0,22
28,12524032,22,52224,32006,60476,254,0,22
29,12581632,22,53504,32518,63292,254,0,22
30,12639232,22,55296,32774,63548,254,0,22
31,12696832,22,54272,32518,828,254,0,22
32,12754432,22,49920,35078,63036,254,0,22
33,12812288,22,52480,34566,59196,254,0,22
34,12869888,22,55296,32774,59452,254,0,22
35,3623884543,235,579,64980,65101,0,0,235
36,12985088,22,51968,31750,63804,254,0,22
37,13042688,22,56576,32518,57404,254,0,22
38,13100288,22,51456,36870,60988,254,0,22
39,13157888,22,54528,34310,63036,254,0,22
40,13215744,22,50944,34566,2108,254,0,22
41,13273344,22,55296,29702,60220,254,0,22
42,13388544,22,53504,34054,1852,254,0,22
43,13446144,22,50688,31238,61756,254,0,22
44,13503744,22,52736,33542,64316,254,0,22
45,13561344,22,55552,34822,62524,254,0,22
46,0,235,571,64992,65094,577,64992,235
47,13618944,22,55296,30214,64828,254,0,22
48,13676544,22,58624,37126,60732,254,0,22
49,13734144,22,53504,30214,62780,254,0,22
50,13792000,22,54272,33030,58940,254,0,22
51,13849600,22,51712,35846,64060,254,0,22
52,0,235,575,64990,65103,579,64985,235
53,13907200,22,54528,33798,3132,254,0,22
54,13964800,22,51456,30982,62012,254,0,22
55,14080000,22,50688,30470,63804,254,0,22
56,14137600,22,55808,34310,61500,254,0,22
57,14310656,22,55552,33798,53308,254,0,22
58,14368256,22,54016,33286,63292,254,0,22
59,14425856,22,55552,34054,64060,254,0,22
60,14483456,22,55296,33030,572,254,0,22
61,14541056,22,53760,33542,62524,254,0,22
62,14598656,22,55552,33798,572,254,0,22
63,14656256,22,54272,36614,63804,254,0,22
64,14713856,22,55552,32518,65340,254,0,22
65,14771712,22,52480,35590,53052,254,0,22
66,0,235,571,65002,65092,568,64985,235
67,14829312,22,52736,34566,59964,254,0,22
68,14886912,22,54784,31238,1084,254,0,22
69,14944512,22,54272,34822,62780,254,0,22
70,15002112,22,54528,34822,64316,254,0,22
71,15059712,22,55808,33542,64828,254,0,22
72,15117312,22,55040,33798,1084,254,0,22
73,15174912,22,53504,38406,64316,254,0,22
74,15232768,22,52736,34054,64060,254,0,22
75,15290368,22,53760,33030,828,254,0,22
76,15347968,22,51712,32006,60,254,0,22
77,15405568,22,52224,34566,60,254,0,22
78,15463168,22,56832,33030,64828,254,0,22
79,15520768,22,53248,30982,60476,254,0,22
80,15578368,22,50432,34566,63292,254,0,22
81,0,235,574,64984,65107,573,64999,235
82,15751424,22,53248,33542,1340,254,0,22
83,15809024,22,55552,31494,60988,254,0,22
84,15866624,22,52992,33798,63292,254,0,22
85,15924224,22,57088,30214,64572,254,0,22
86,15981824,22,53504,34566,64060,254,0,22
87,16039424,22,51968,33286,2108,254,0,22
88,16097024,22,54528,35590,61500,254,0,22
89,16154624,22,55040,35846,62524,254,0,22
90,16212480,22,54528,36358,316,254,0,22
91,16270080,22,54784,33798,61500,254,0,22
92,16327680,22,53504,31238,62524,254,0,22
93,16385280,22,53248,35590,64572,254,0,22
94,16442880,22,55552,34054,63036,254,0,22
95,16500480,22,51200,33542,62780,254,0,22
96,0,235,571,64983,65096,579,64977,235
97,16558080,22,56320,32006,316,254,0,22
98,16615680,22,52992,30726,8508,254,0,22
99,16673536,22,57344,30982,1596,254,0,22
100,16731136,22,59392,34822,60988,254,0,22
101,17076736,22,55040,33798,58684,254,0,22
102,17134592,22,55296,35078,3900,254,0,22
103,17192192,22,57088,31494,3644,254,0,22
104,17595648,22,51456,36614,58684,254,0,22
105,17653248,22,54272,34566,62012,254,0,22
106,17883648,22,51456,33286,1852,254,0,22
107,17941248,22,50688,34054,62012,254,0,22
108,18114304,22,52736,35334,1340,254,0,22
109,18171904,22,57856,34054,4924,254,0,22
110,18229504,22,53760,33542,62780,254,0,22
111,18287104,22,53248,33798,1340,254,0,22
112,3825211135,235,573,65005,65095,0,0,235
113,18402304,22,55552,34822,58684,254,0,22
114,18459904,22,51456,33542,64060,254,0,22
115,18517760,22,54528,34310,61500,254,0,22
116,0,235,575,64980,65112,565,64997,235
117,18575360,22,54016,32006,2620,254,0,22
118,3556775679,235,567,64987,65105,0,0,235
119,18690560,22,53504,34310,65340,254,0,22
120,18748160,22,52992,35590,65084,254,0,22
121,18805760,22,57088,34822,60220,254,0,22
122,18863360,22,55808,36870,64316,254,0,22
123,18920960,22,56320,35846,60476,254,0,22
124,18978816,22,52224,32774,12860,254,0,22
125,19036416,22,53248,34310,3388,254,0,22
126,19094016,22,52224,33030,64572,254,0,22
127,19151616,22,54016,33286,1084,254,0,22
128,19209216,22,56064,34822,57916,254,0,22
129,19266816,22,60928,33542,1340,254,0,22
130,19324416,22,54272,33798,63548,254,0,22
131,19382016,22,57600,35334,62268,254,0,22
132,19439872,22,55808,32518,62268,254,0,22
133,19497472,22,55040,33542,2364,254,0,22
134,19555072,22,54016,35846,65340,254,0,22
135,19612672,22,55808,34054,316,254,0,22
136,19670272,22,52480,34566,1852,254,0,22
137,19727872,22,54528,35590,64316,254,0,22
138,19785472,22,55040,33030,65084,254,0,22
139,19843328,22,56576,33030,1340,254,0,22
140,19900928,22,56320,32518,60476,254,0,22
141,19958528,22,53760,33286,64060,254,0,22
142,20016128,22,56320,33286,60,254,0,22
143,20073728,22,52224,34310,63804,254,0,22
144,20131328,22,55296,34054,5180,254,0,22
145,20188928,22,55296,34054,5180,254,0,22
146,20246528,22,55296,37638,4668,254,0,22
147,20304128,22,53504,35334,58940,254,0,22
148,20361984,22,55296,33798,60732,254,0,22
149,20419584,22,54272,29702,59964,254,0,22
150,20477184,22,51200,34310,4156,254,0,22
151,20534784,22,56064,31750,65084,254,0,22
152,20592384,22,54016,31750,65340,254,0,22
153,20649984,22,55040,33286,3900,254,0,22
154,20707584,22,51456,31494,64060,254,0,22
155,20765184,22,52224,32262,64572,254,0,22
156,20823040,22,54272,35590,1852,254,0,22
157,20880640,22,54528,33542,3132,254,0,22
158,20938240,22,55808,33030,1084,254,0,22
159,3439335167,235,578,64979,65106,0,0,235
160,21053440,22,54016,33286,59708,254,0,22
161,21111040,22,51712,34822,63292,254,0,22
162,21168640,22,57600,32006,1084,254,0,22
163,21226240,22,54016,32774,2108,254,0,22
164,21284096,22,50688,30214,2876,254,0,22
165,3305117439,235,567,64997,65105,0,0,235
166,21399296,22,56064,32518,62012,254,0,22
167,21456896,22,52480,34054,63548,254,0,22
168,21514496,22,52736,36614,1340,254,0,22
169,21572096,22,54784,33542,2876,254,0,22
170,21629696,22,55552,35590,316,254,0,22
171,21687296,22,52480,37126,5692,254,0,22
172,21745152,22,52480,36102,316,254,0,22
173,21802752,22,54528,34054,4156,254,0,22
174,21860352,22,55808,35590,64572,254,0,22
175,0,235,575,64987,65102,567,64982,235
176,21917952,22,52736,33030,61500,254,0,22
177,21975552,22,55552,33542,4924,254,0,22
178,22033152,22,52224,30470,572,254,0,22
179,22090752,22,53504,33542,572,254,0,22
180,22148608,22,55552,37894,3132,254,0,22
181,22206208,22,51968,34566,1084,254,0,22
182,22263808,22,54272,34566,2364,254,0,22
183,22321408,22,55040,32774,2364,254,0,22
184,22379008,22,57344,35846,4924,254,0,22
185,22436608,22,52992,30470,2108,254,0,22
186,22494208,22,51456,34566,2876,254,0,22
187,22551808,22,54528,35590,2876,254,0,22
188,22609408,22,54016,35590,3132,254,0,22
189,22667264,22,55552,33286,3388,254,0,22
190,22724864,22,54528,33542,65084,254,0,22
191,22782464,22,54784,34054,1596,254,0,22
192,22840064,22,58112,32006,1340,254,0,22
193,0,235,574,64988,65109,572,64995,235
194,22897664,22,51712,32774,828,254,0,22
195,22955264,22,52224,36358,1596,254,0,22
196,23012864,22,53760,36870,1084,254,0,22
197,23070464,22,57088,35078,60,254,0,22
198,23128320,22,51456,34822,59196,254,0,22
199,23185920,22,55040,31750,64572,254,0,22
200,23243520,22,56064,34054,1596,254,0,22
201,23301120,22,56576,35078,3900,254,0,22
202,23358720,22,54528,33542,828,254,0,22
203,23416320,22,54272,33030,3644,254,0,22
204,23473920,22,52736,33030,3900,254,0,22
205,23531520,22,55296,36358,1340,254,0,22
206,23589376,22,51712,36614,572,254,0,22
207,23646976,22,50688,32774,64828,254,0,22
208,23704576,22,55552,33286,4156,254,0,22
209,23762176,22,56832,33030,64316,254,0,22
210,23819776,22,52480,35078,2108,254,0,22
211,23877376,22,53504,34310,316,254,0,22
212,23934976,22,51456,34054,65340,254,0,22
213,23992576,22,54784,32006,64316,254,0,22
214,24050432,22,55808,31750,2876,254,0,22
215,24108032,22,55552,34310,62268,254,0,22
216,24165632,22,55040,35334,64828,254,0,22
217,24223232,22,56320,37382,4924,254,0,22
218,24280832,22,53504,33286,4924,254,0,22
219,24338432,22,57088,35846,61500,254,0,22
220,24396032,22,55552,35334,1852,254,0,22
221,24453632,22,55040,34566,316,254,0,22
222,24511232,22,57088,36358,60,254,0,22
223,24569088,22,56832,34566,3132,254,0,22
224,24626688,22,53504,36358,64828,254,0,22
225,24684288,22,55040,34822,572,254,0,22
226,24741888,22,53760,31750,828,254,0,22
227,24799488,22,54528,34566,64828,254,0,22
228,24857088,22,53504,34310,572,254,0,22
229,24914688,22,52224,34054,2876,254,0,22
230,24972288,22,55040,34566,61244,254,0,22
231,25030144,22,54784,37894,64572,254,0,22
232,25087744,22,54528,31494,3900,254,0,22
233,25145344,22,55040,38150,2108,254,0,22
234,25202944,22,54272,33030,65340,254,0,22
235,25260544,22,54272,31750,3644,254,0,22
236,25318144,22,56576,33542,3132,254,0,22
237,25375744,22,52992,31494,316,254,0,22
238,25433344,22,53760,32774,63292,254,0,22
239,25490944,22,53760,37382,63548,254,0,22
240,25548544,22,52736,33542,2108,254,0,22
241,25606400,22,57856,30214,64316,254,0,22
242,25664000,22,51968,32262,1340,254,0,22
243,25721600,22,55040,31494,1084,254,0,22
244,25779200,22,56832,34566,1340,254,0,22
245,25836800,22,51200,35334,2108,254,0,22
246,25894400,22,52224,33798,62012,254,0,22
247,25952000,22,53504,35334,1340,254,0,22
248,26009600,22,57344,34054,6204,254,0,22
249,26067200,22,51200,33286,1596,254,0,22
250,26125056,22,53760,35846,1340,254,0,22
251,26182656,22,54528,31494,1852,254,0,22
252,26240256,22,54016,32006,5180,254,0,22
253,26297856,22,54784,32006,3644,254,0,22
254,26355456,22,55296,35078,58428,254,0,22
255,26413056,22,54784,33030,65084,254,0,22
256,26470656,22,55040,35334,1084,254,0,22
257,26528256,22,55808,36614,316,254,0,22
258,26585856,22,50176,34822,1340,254,0,22
259,26643712,22,56576,33798,572,254,0,22
260,26701312,22,55040,31750,64572,254,0,22
261,26758912,22,55296,34310,1340,254,0,22
262,26816512,22,53760,34310,63036,254,0,22
263,26874112,22,50432,32774,7484,254,0,22
264,26931712,22,57856,30470,3900,254,0,22
265,26989312,22,54016,32518,62268,254,0,22
266,27046912,22,53504,34054,65340,254,0,22
267,27104512,22,55296,33798,6460,254,0,22
268,27162368,22,54016,37126,1852,254,0,22
269,27219968,22,53248,34310,64572,254,0,22
270,27277568,22,55808,33286,65084,254,0,22
271,27335168,22,54528,36358,7996,254,0,22
272,27392768,22,52224,36358,572,254,0,22
273,27450368,22,53504,36102,4412,254,0,22
274,27507968,22,55296,34310,2620,254,0,22
275,27565568,22,54528,31750,828,254,0,22
276,0,235,569,64985,65106,568,64988,235
277,27623168,22,57344,32262,4668,254,0,22
278,27680768,22,57088,36358,1084,254,0,22
279,27738624,22,53760,35590,316,254,0,22
280,27796224,22,54016,36102,6716,254,0,22
281,27853824,22,54272,36614,4412,254,0,22
282,27911424,22,56576,34054,5948,254,0,22
283,27969024,22,58624,33030,4156,254,0,22
284,28026624,22,51200,35334,60,254,0,22
285,28084224,22,50176,36102,1852,254,0,22
286,28141824,22,53504,36358,3644,254,0,22
287,28199680,22,57344,34054,3900,254,0,22
288,28257280,22,53248,32518,2876,254,0,22
289,28314880,22,49408,38662,2876,254,0,22
290,28372480,22,51200,33798,3132,254,0,22
291,28430080,22,55296,34566,1340,254,0,22
292,28487680,22,52224,35078,3644,254,0,22
293,28545280,22,55808,34566,3132,254,0,22
294,28602880,22,55040,32774,63548,254,0,22
295,28660480,22,56064,34054,2364,254,0,22
296,28718080,22,54272,37894,6204,254,0,22
297,28775936,22,56064,36358,3132,254,0,22
298,28833536,22,54272,37894,3900,254,0,22
299,28891136,22,52224,37126,3900,254,0,22
300,28948736,22,55552,35334,1340,254,0,22
301,29006336,22,53248,32518,2364,254,0,22
302,29063936,22,52992,37894,828,254,0,22
303,29121536,22,55552,35334,65340,254,0,22
304,29179136,22,54016,34566,65084,254,0,22
305,29236736,22,53504,35846,828,254,0,22
306,29294336,22,56064,36358,1852,254,0,22
307,29352192,22,53504,33798,5692,254,0,22
308,3539998463,235,574,64999,65097,0,0,235
309,29467392,22,54016,36614,2364,254,0,22
310,29524992,22,55552,37638,63804,254,0,22
311,29582592,22,54528,33798,5180,254,0,22
312,29640192,22,54272,34822,64316,254,0,22
313,0,235,573,64987,65105,569,64993,235
314,29697792,22,52736,35334,1596,254,0,22
315,29755392,22,56064,34054,5948,254,0,22
316,29812992,22,54016,35078,64060,254,0,22
317,29870592,22,57600,34310,2364,254,0,22
318,29928448,22,56064,34566,65084,254,0,22
319,29986048,22,53760,32774,64316,254,0,22
320,3506444031,235,572,64996,65105,0,0,235
321,30101248,22,50176,30982,2108,254,0,22
322,30158848,22,51456,33798,3388,254,0,22
323,30216448,22,57856,35846,3900,254,0,22
324,30274048,22,52736,32774,64572,254,0,22
325,30331648,22,52992,34310,6972,254,0,22
326,30389248,22,52736,36358,2108,254,0,22
327,30446848,22,52736,35078,316,254,0,22
328,30504704,22,56320,34822,3388,254,0,22
329,30562304,22,52480,36102,6204,254,0,22
330,30619904,22,54528,36870,62780,254,0,22
331,30677504,22,55552,32518,5948,254,0,22
332,30735104,22,55552,34566,3900,254,0,22
333,30792704,22,53760,32006,64828,254,0,22
334,30850304,22,52224,34566,64316,254,0,22
335,30907904,22,53248,34054,1852,254,0,22
336,30965504,22,55296,32774,3900,254,0,22
337,31023360,22,56064,34822,65340,254,0,22
338,31080960,22,56320,33798,64572,254,0,22
339,31138560,22,51968,34822,64316,254,0,22
340,31196160,22,53504,35846,4668,254,0,22
341,31253760,22,51712,33798,2876,254,0,22
342,31311360,22,54528,35078,2876,254,0,22
343,31368960,22,53248,38150,2364,254,0,22
344,31426560,22,54784,37126,65340,254,0,22
345,31484160,22,56320,33542,4412,254,0,22
346,31599616,22,53248,34822,1084,254,0,22
347,31657216,22,56064,32262,5180,254,0,22
348,31714816,22,52736,34054,3644,254,0,22
349,31772416,22,52992,36870,2108,254,0,22
350,31830016,22,57088,33798,572,254,0,22
351,31887616,22,53760,36614,3644,254,0,22
352,31945216,22,53504,32006,9020,254,0,22
353,32002816,22,55808,33286,60,254,0,22
354,32060416,22,55040,34054,2620,254,0,22
355,32118016,22,54528,32262,4156,254,0,22
356,32175616,22,51712,34566,828,254,0,22
357,32233472,22,55040,35590,3644,254,0,22
358,32291072,22,53760,37894,65084,254,0,22
359,32348672,22,50688,35078,4668,254,0,22
360,32406272,22,53760,38918,4412,254,0,22
361,32463872,22,55552,35078,63292,254,0,22
362,32521472,22,55808,37126,1852,254,0,22
363,32579072,22,54784,34822,63292,254,0,22
364,32636672,22,54272,35590,1084,254,0,22
365,32694272,22,56576,31750,2876,254,0,22
366,32751872,22,58368,36614,5692,254,0,22
367,32809728,22,58624,36102,4924,254,0,22
368,32867328,22,55296,34822,63292,254,0,22
369,32924928,22,52224,35590,3388,254,0,22
370,32982528,22,54528,36870,2620,254,0,22
371,33040128,22,56320,34822,65340,254,0,22
372,33097728,22,53760,35846,6716,254,0,22
373,0,235,574,64983,65100,580,64976,235
374,33155328,22,55040,33542,3900,254,0,22
375,33212928,22,56064,35334,62012,254,0,22
376,33270528,22,50176,36358,5180,254,0,22
377,33328128,22,54016,35334,65084,254,0,22
378,33385984,22,52992,34054,8764,254,0,22
379,33443584,22,55296,34822,3900,254,0,22
380,33501184,22,58368,34054,3132,254,0,22
381,33558784,22,52736,34054,5692,254,0,22
382,33616384,22,51712,37382,3644,254,0,22
383,33673984,22,55040,36102,1596,254,0,22
384,33731584,22,52736,33798,5692,254,0,22
385,33789184,22,54784,34054,6204,254,0,22
386,33846784,22,51712,34822,572,254,0,22
387,33904384,22,50176,38918,828,254,0,22
388,33961984,22,54272,32518,5180,254,0,22
389,34019584,22,55040,35334,3644,254,0,22
390,34077440,22,54016,34310,1852,254,0,22
391,34135040,22,52992,33542,2876,254,0,22
392,34192640,22,52224,37894,2620,254,0,22
393,34250240,22,55040,35590,572,254,0,22
394,34307840,22,55552,34566,4412,254,0,22
395,34365440,22,54784,34054,2364,254,0,22
396,34423040,22,50432,34822,64060,254,0,22
397,34480640,22,52480,34310,7484,254,0,22
398,34538496,22,53248,36102,5180,254,0,22
399,34596096,22,55552,33286,3388,254,0,22
400,34653696,22,56576,32774,2108,254,0,22
401,34711296,22,50944,35334,4156,254,0,22
402,34768896,22,53504,36102,2620,254,0,22
403,34826496,22,54272,37894,2620,254,0,22
404,34884096,22,52480,32518,9020,254,0,22
405,34941696,22,52992,37638,4412,254,0,22
406,34999296,22,53248,35334,4668,254,0,22
407,35057152,22,52992,38918,62268,254,0,22
408,3472889599,235,574,64990,65097,0,0,235
409,35172352,22,51456,34822,6204,254,0,22
410,35229952,22,52992,40966,5436,254,0,22
411,35287552,22,53760,31238,6460,254,0,22
412,35345152,22,54528,37638,2364,254,0,22
413,35402752,22,52224,36614,5180,254,0,22
414,35460352,22,55040,36102,3644,254,0,22
415,35517952,22,55552,35334,65084,254,0,22
416,35575552,22,54528,36102,4156,254,0,22
417,35633408,22,51968,32774,2620,254,0,22
418,35691008,22,55808,32774,63548,254,0,22
419,35748608,22,54784,33286,6972,254,0,22
420,35806208,22,53760,36358,5948,254,0,22
421,35863808,22,53504,35846,64316,254,0,22
422,35921408,22,50432,34054,572,254,0,22
423,35979008,22,54528,36358,2620,254,0,22
424,36036608,22,53248,32518,4924,254,0,22
425,36094208,22,50176,36614,4668,254,0,22
426,36152064,22,51456,36358,3388,254,0,22
427,36209664,22,53248,37894,64572,254,0,22
428,36267264,22,56064,35590,3900,254,0,22
429,36324864,22,50688,36358,5692,254,0,22
430,36382464,22,50176,36614,3644,254,0,22
431,36440064,22,51200,36102,5948,254,0,22
432,36497664,22,54272,36614,65084,254,0,22
433,36555264,22,54016,38406,1852,254,0,22
434,36612864,22,54272,34054,6460,254,0,22
435,36670720,22,54272,34310,1084,254,0,22
436,36728320,22,52224,31238,5180,254,0,22
437,36785920,22,51968,34054,6716,254,0,22
438,36843520,22,54016,37126,7228,254,0,22
439,36901120,22,55040,33542,4924,254,0,22
440,36958720,22,54528,33542,4412,254,0,22
441,37016320,22,52736,36102,2108,254,0,22
442,37073920,22,52224,36358,1596,254,0,22
443,37131776,22,55296,33286,65340,254,0,22
444,37189376,22,54016,37126,60,254,0,22
445,37246976,22,55808,33798,3900,254,0,22
446,37304576,22,54272,38406,4156,254,0,22
447,37362176,22,50688,35334,5436,254,0,22
448,37419776,22,54528,31750,2620,254,0,22
449,37477376,22,52736,34054,7228,254,0,22
450,37534976,22,52480,36870,2876,254,0,22
451,37592576,22,52736,37382,2108,254,0,22
452,37650432,22,54016,36614,3644,254,0,22
453,37708032,22,52480,35078,1340,254,0,22
454,37765632,22,54272,36358,1340,254,0,22
455,37823232,22,51200,35078,2620,254,0,22
456,37880832,22,54016,33286,3388,254,0,22
457,3439335167,235,582,64996,65090,0,0,235
458,37996032,22,55040,32774,4156,254,0,22
459,38053632,22,52480,36102,9276,254,0,22
460,38111488,22,51712,37126,2876,254,0,22
461,38169088,22,55296,33542,1340,254,0,22
462,38226688,22,51968,37894,5948,254,0,22
463,38284288,22,55552,36870,5180,254,0,22
464,38341888,22,50944,36102,5436,254,0,22
465,0,235,575,64987,65111,573,64986,235
466,38399488,22,54528,37382,5180,254,0,22
467,38457088,22,55040,37382,1852,254,0,22
